0.399	3.101	1	0	3.14	-0.02
0.265	3.085	0	1	0.03	1.05
0.262	3.137	1	0	3.57	-0.18
0.407	3.013	1	0	7.68	-0.02
0.380	3.097	1	1	5.39	1.11
0.438	3.099	1	1	1.04	13.50
0.569	3.183	0	0	0.03	-0.07
0.768	3.127	0	1	-0.01	1.15
0.275	3.092	0	1	-0.05	5.62
0.548	3.130	1	0	0.96	0.11
0.862	3.181	1	1	27.96	36.04
0.355	3.102	1	0	1.00	0.07
0.551	3.051	1	0	10.36	-0.02
0.347	3.001	1	0	2.24	0.08
0.525	3.023	1	0	15.69	0.00
0.358	3.033	0	1	-0.13	4.66
0.663	3.119	1	0	1.90	-0.22
0.210	3.140	1	0	1.12	0.09
0.574	3.199	1	0	15.41	0.03
0.244	3.076	0	1	0.11	2.99
0.345	3.112	0	1	0.15	12.27
0.448	3.099	0	0	-1.52	-0.08
0.494	3.093	1	0	1.61	0.23
0.261	3.087	0	0	0.10	0.03
0.243	3.126	0	0	-0.09	-0.05
0.401	3.123	0	1	-0.13	11.64
0.291	3.083	0	1	-0.01	0.74
0.570	3.090	0	1	-0.24	2.88
0.258	3.064	0	0	0.03	0.03
0.342	3.179	1	0	3.02	-0.07
0.328	3.100	0	0	0.07	0.04
0.811	3.050	0	0	-0.09	-0.08
0.210	3.134	1	0	8.99	-0.19
0.280	3.138	0	0	0.06	-0.03
0.423	3.158	0	1	0.10	2.42
0.360	3.098	0	1	-0.05	5.09
0.867	3.111	0	1	0.13	17.29
0.554	3.057	0	1	-0.12	11.20
0.237	3.111	1	0	18.19	0.09
0.681	3.037	0	1	-0.09	41.97
0.640	3.017	0	1	-0.06	25.01
0.540	3.185	0	0	-0.01	0.01
0.227	3.090	0	1	0.03	1.82
0.611	3.069	0	1	0.06	0.96
0.249	3.105	1	1	10.61	0.62
0.710	3.077	1	0	49.34	-0.07
0.296	3.102	0	1	0.13	1.18
0.302	3.123	1	0	4.02	0.05
0.744	3.180	0	0	0.02	-0.11
0.265	3.077	0	1	-0.10	4.88
0.271	3.087	0	0	0.01	-0.06
0.229	3.113	0	0	-0.14	0.21
0.337	3.092	0	0	-0.24	-0.03
0.400	3.107	0	1	0.06	2.87
0.398	3.192	0	0	-0.10	-0.01
0.322	3.119	0	1	0.06	4.86
0.283	3.128	0	0	0.03	0.01
0.695	3.094	1	1	9.37	1.64
0.315	3.090	0	1	0.03	4.70
0.741	3.034	1	1	3.24	0.81
0.401	3.034	1	0	8.84	0.11
0.601	3.130	0	1	-0.05	13.15
0.408	3.137	1	0	1.61	-0.18
0.258	3.106	0	0	0.25	-0.17
0.950	3.130	0	0	-0.01	-0.10
0.572	3.138	1	0	1.16	0.01
0.397	3.164	1	0	1.12	-0.15
0.531	3.071	0	0	-0.21	0.07
0.362	3.112	0	0	-0.08	-0.07
0.297	3.108	1	0	4.60	0.04
0.478	3.103	1	0	35.61	-0.13
0.967	3.024	0	0	-0.06	0.01
0.220	3.026	0	0	-0.14	-0.07
0.906	3.094	1	1	37.77	20.45
0.434	3.014	0	0	-0.14	0.46
0.204	3.135	0	0	-0.14	-0.21
0.346	3.111	1	0	2.70	-0.11
0.455	3.124	1	0	2.10	-0.01
0.938	3.127	1	0	19.72	-0.03
0.558	3.161	1	1	15.94	3.92
0.373	3.116	1	0	1.98	-0.11
0.964	3.081	0	1	-0.17	21.42
0.549	3.138	0	1	0.07	7.24
0.266	3.123	1	1	3.87	1.00
0.615	3.114	0	1	-0.06	27.30
0.316	3.137	0	0	0.13	0.01
0.773	3.078	1	0	2.02	-0.21
0.679	3.104	0	0	0.13	-0.21
0.516	3.079	0	0	0.05	-0.54
0.296	3.092	1	1	3.38	38.51
0.381	3.121	0	1	0.03	9.00
0.247	3.084	0	0	0.18	-0.11
0.554	3.036	1	1	15.79	9.94
0.443	3.089	0	1	0.06	5.98
0.592	3.113	0	1	-0.06	8.63
0.579	3.088	1	1	13.53	6.61
0.316	3.117	0	0	-0.05	-0.16
0.326	3.017	0	0	0.07	-0.10
0.254	3.105	0	0	-0.05	0.04
0.276	3.105	1	1	1.34	16.32
0.319	3.000	1	0	1.26	0.11
0.545	3.148	1	0	12.31	0.05
0.919	3.094	0	1	-0.12	30.85
0.278	3.047	0	0	0.02	0.19
0.506	3.080	1	0	1.99	-0.10
0.522	3.116	1	0	5.16	-0.06
0.539	3.193	0	0	-0.06	-0.03
